Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,,
FloodGauge,Header,,section,,,,,,,,,,,,
,,,GaugeID,text,Unique identifier for the sensor,GAUGE-001,,,,,,,,,
,SensorStats,,section,,,,,,,,,,,,
,,,HistoricalHighLevel,decimal,Measurement of highest level recorded,2.7,,,,,,,,,
,,,HistoricalHighDate,date,Date of highest recorded level,,,,,,,,,,
,,,LastDateLevelExceedLevel3,date,Date the last time Level 3 was exceeded,,,,,,,,,,
,,,FrequencyExceedLevel3,integer,Number of times in past 5 years Level 3 exceeded,,,,,,,,,,
,SensorDetails,GaugeInformation,section,,,,,,,,,,,,
,,,DataSourceType,menu,Type of data source,SensorGauge,"{SensorGauge, Satellite, WeatherStation}",,,,,,,,
,,,GaugeOwner,text,Name of data provider,UK Environmental Agency,,,,,,,,,
,,,GaugeType,menu,Specific type of river gauge,Staff gauge,"{Staff gauge, Wire-weight gauge, Shaft encoder, Bubbler system, Pressure transducer, Radar gauge, Ultrasonic gauge}",,,,,,,,
,,,ManufacturerName,text,Manufacturer of sensor,OTT HydroMet,,,,,,,,,
,,,InstallationDate,date,Date sensor was installed,01/01/2024,,,,,,,,,
,,,LastInspectionDate,date,Date of last physical inspection,15/02/2024,,,,,,,,,
,,,MaintenanceSchedule,menu,Required frequency of inspections,Quarterly,"{Monthly, Quarterly, Bi-annual, Annual}",,,,,,,,
,,,OperationalStatus,menu,Current operational status,Fully operational,"{Fully operational, Maintenance required, Temporarily offline, Decommissioned}",,,,,,,,
,,,CertificationStatus,menu,Current certification status,Fully certified,"{Fully certified, Provisional, Under review, Non-certified}",,,,,,,,
,,,GaugeLatitude,decimal,Latitude coordinate of gauge,51.4543,,,,,,,,,
,,,GaugeLongitude,decimal,Longitude coordinate of gauge,-0.9781,,,,,,,,,
,,Measurements,section,,,,,,,,,,,,
,,,MeasurementFrequency,menu,How often measurements are taken,15 minutes,"{5 minutes,15 minutes,30 minutes, Hourly},,,}",,,,,,,,
,,,MeasurementMethod,menu,How measurements are recorded,Automatic,"{Automatic, Manual, Hybrid}",,,,,,,,
,,,DataTransmission,menu,Type of data transmission,Automatic,"{Manual, Automatic}",,,,,,,,
,,,DataCurator,text,Which agency collects and stores data,UK Environmental Agency,,,,,,,,,
,,,DataAccessMethod,menu,How data can be accessed by the parties,PublicAPI,"{PublicAPI, WebInterface, Email/Other}",,,,,,,,
,,,,,,,,,,,,,,,
