Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,,
CommercialInsurance,Header,,section,,,,,,,,,,,,
,,,PolicyID,text,Unique identifier for the contract,COM-2024-001,,,,,,,,,
,,,CompanyNumber,text,Registered company number,12345678,,,,,,,,,
,,,UPRN,text,Unique Property Reference Number,100023336785,,,,,,,,,
,Parties,,section,,,,,,,,,,,,
,,,InsurerName,text,Name of insurance company,Liberty Mutual,,,,,,,,,
,,,InsurerLicense,text,Insurer's license number,LIC123456,,,,,,,,,
,,,InsuredBusinessName,text,Name of insured business,Smith Trading Ltd,,,,,,,,,
,,,BusinessType,menu,Type of business entity,Limited Company,"{Limited Company, Partnership, Sole Trader, PLC}",,,,,,,,
,,,IndustryCode,text,Standard Industrial Classification code,47110,,,,,,,,,
,Coverage,,section,,,,,,,,,,,,
,,,Version,text,Contract version number,1,,,,,,,,,
,,,EffectiveDate,date,Start date of policy,01/01/2024,,,,,,,,,
,,,ExpirationDate,date,End date of policy,31/12/2024,,,,,,,,,
,,,Status,menu,Contract status,Active,"{Active, Suspended, Terminated}",,,,,,,,
,,,PropertyCoverageLimit,decimal,Coverage for business premises,2000000,,,,,,,,,
,,,ContentsCoverageLimit,decimal,Coverage for business contents,500000,,,,,,,HAIL,POWER_OUTAGE},
,,,BusinessInterruption,decimal,Business interruption coverage limit,1000000,,,,,,,,,
,,,PublicLiability,decimal,Public liability coverage limit,5000000,,,,,,,,,
,,,EmployerLiability,decimal,Employer's liability coverage limit,10000000,,,,,,,,,
,,,ProductLiability,decimal,Product liability coverage limit,2000000,,,,,,,,,
,,,Currency,text,Contract currency,GBP,,,,,,,,,
,,,AnnualPremium,decimal,Annual premium amount,15000,,,,,,,,,
,,,PaymentFrequency,menu,Premium payment frequency,Monthly,"{Annual, Semi-annual, Quarterly, Monthly}",,,,,,,,
,PropertyCoverage,,section,,,,,,,,,,,,
,,,Buildings,boolean,Coverage for building structure,TRUE,,,,,,,,,
,,,Machinery,boolean,Coverage for machinery and equipment,TRUE,,,,,,,,,
,,,Stock,boolean,Coverage for inventory/stock,TRUE,,,,,,,,,
,,,Electronics,boolean,Coverage for electronic equipment,TRUE,,,,,,,,,
,,,CashOnPremises,decimal,Coverage limit for cash on premises,5000,,,,,,,,,
,HazardCoverage,,section,,,,,,,,,,,,
,,,FloodCovered,boolean,Coverage for flood damage,TRUE,,,,,,,,,
,,,FireCovered,boolean,Coverage for fire damage,TRUE,,,,,,,,,
,,,StormCovered,boolean,Coverage for storm damage,TRUE,,,,,,,,,
,,,TheftCovered,boolean,Coverage for theft,TRUE,,,,,,,,,
,,,RiotCovered,boolean,Coverage for riot/civil commotion,TRUE,,,,,,,,,
,,,CyberCovered,boolean,Coverage for cyber incidents,TRUE,,,,,,,,,
,,,SubsidenceCovered,boolean,Coverage for subsidence,TRUE,,,,,,,,,
,,,EarthquakeCovered,boolean,Coverage for earthquake damage,TRUE,,,,,,,,,
,Claims,,section,,,,,,,,,,,,
,,,SettlementPeriodDays,integer,Days allowed for claim settlement,45,,,,,,,,,
,,,ExcessAmount,decimal,Standard excess amount,1000,,,,,,,,,
,,,PaymentMethod,menu,Method of claims payment,Bank transfer,"{Bank transfer, Check, Wire transfer}",,,,,,,,
,History,,section,,,,,,,,,,,,
,,,PriorClaims5Years,integer,Number of claims in past 5 years,2,,,,,,,,,
,,,LastClaimDate,date,Date of last claim,15/06/2023,,,,,,,,,
,,,LastClaimType,menu,Type of last claim,Property Damage,"{Property Damage, Liability, Business Interruption, Cyber, Employee Injury, Product Liability, Other}",,,,,,,,
,,,ClaimAmount,decimal,Amount of last claim,75000,,,,,,,,,
,,,ClaimsFreeYears,integer,Claims free years,3,,,,,,,,,
,RiskFactors,,section,,,,,,,,,,,,
,,,FloodRiskZone,menu,Flood risk classification,Low,"{Low, Medium, High}",,,,,,,,
,,,SubsidenceRiskZone,menu,Subsidence risk classification,Low,"{Low, Medium, High}",,,,,,,,
,,,SeismicZone,menu,Seismic activity risk zone,Low,"{Low, Medium, High}",,,,,,,,
,,,SoilType,menu,Type of soil at property location,Clay,"{Clay, Sand, Rock, Peat, Mixed}",,,,,,,,
,,,WaterTableDepth,menu,Depth of water table,Deep,"{Shallow, Medium, Deep}",,,,,,,,
,,,DrainageSystem,menu,Quality of drainage system,Good,"{Poor, Adequate, Good}",,,,,,,,
,,,GroundStability,menu,Ground stability assessment,Stable,"{Unstable, Partially Stable, Stable}",,,,,,,,
,,,EnvironmentalHazards,menu,Nearby environmental hazards,None,"{None, Chemical, Mining, Landfill, Other}",,,,,,,,
,,,BuildingAge,integer,Age of the building in years,25,,,,,,,,,
,,,BuildingHeight,integer,Height of building in meters,15,,,,,,,,,
,,,NumberOfFloors,integer,Number of floors in building,3,,,,,,,,,
,,,ConstructionType,menu,Building construction type,Brick/Stone,"{Brick/Stone, Steel Frame, Concrete, Timber, Mixed}",,,,,,,,
,,,LastSurveyDate,date,Date of last building survey,01/06/2023,,,,,,,,,
,,,FoundationType,menu,Type of building foundation,Raft,"{Strip, Raft, Pile, Pad}",,,,,,,,
,,,SecurityLevel,menu,Security measures classification,High,"{Low, Medium, High}",,,,,,,,
,,,FireProtection,menu,Fire protection systems,Sprinkler System,"{None, Fire Alarms, Sprinkler System, Both}",,,,,,,,
,,,LocationRisk,menu,Location risk assessment,Low,"{Low, Medium, High}",,,,,,,,
,,,BusinessContinuity,boolean,Has business continuity plan,TRUE,,,,,,,,,
,Endorsements,,section,,,,,,,,,,,,
,,,TerrorismCover,boolean,Coverage for terrorism,TRUE,,,,,,,,,
,,,GoodsInTransit,boolean,Coverage for goods in transit,TRUE,,,,,,,,,
,,,ContractorAllRisks,boolean,Coverage for contractors all risks,FALSE,,,,,,,,,
,,,ProfessionalIndemnity,boolean,Professional indemnity coverage,TRUE,,,,,,,,,
,,,DirectorsOfficers,boolean,Directors and officers liability,TRUE,,,,,,,,,
,Compliance,,section,,,,,,,,,,,,
,,,HealthSafetyPolicy,boolean,Has health and safety policy,TRUE,,,,,,,,,
,,,RiskAssessments,boolean,Regular risk assessments conducted,TRUE,,,,,,,,,
,,,StaffTraining,boolean,Regular staff safety training,TRUE,,,,,,,,,
,,,CertificateDisplay,boolean,Insurance certificates displayed,TRUE,,,,,,,,,
