Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,,
CommercialPropertyInsurance,Header,,section,,,,,,,,,,,,
,,,PropertyID,text,Unique identifier for the contract,CPOL-2024-001,,,,,,,,,
,,,UPRN,text,Unique Property Reference Number,1.00023E+11,,,,,,,,,
,Parties,,section,,,,,,,,,,,,
,,,InsurerName,text,Name of insurance company,Liberty Mutual,,,,,,,,,
,,,InsurerLicense,text,Insurer's license number,LIC123456,,,,,,,,,
,,,InsuredName,text,Name of insured business entity,Smith Trading Ltd,,,,,,,,,
,,,InsuredType,menu,Type of business entity,Limited Company,"{Sole Trader, Partnership, Limited Company, PLC, LLP}",,,,,,,,
,Coverage,,section,,,,,,,,,,,,
,,,Version,text,Contract version number,1,,,,,,,,,
,,,EffectiveDate,date,Start date of policy,01/01/2024,,,,,,,,,
,,,ExpirationDate,date,End date of policy,31/12/2024,,,,,,,,,
,,,Status,menu,Contract status,Active,"{Active, Suspended, Terminated}",,,,,,,,
,,,BuildingCoverageLimit,decimal,Maximum coverage amount for building,2500000,,,,,,,,,
,,,ContentsCoverageLimit,decimal,Maximum coverage amount for contents,500000,,,,,,,,,
,,,BusinessInterruptionLimit,decimal,Maximum coverage for business interruption,1000000,,,,,,,,,
,,,PublicLiabilityLimit,decimal,Public liability coverage limit,5000000,,,,,,,HAIL,POWER_OUTAGE},
,,,Currency,text,Contract currency,GBP,,,,,,,,,
,,,AnnualPremium,decimal,Annual premium amount,12500,,,,,,,,,
,,,PaymentFrequency,menu,Premium payment frequency,Monthly,"{Annual, Semi-annual, Quarterly, Monthly}",,,,,,,,
,HazardCoverage,,section,,,,,,,,,,,,
,,,FloodCovered,boolean,Coverage for flood damage,TRUE,,,,,,,,,
,,,FireCovered,boolean,Coverage for fire damage,TRUE,,,,,,,,,
,,,StormCovered,boolean,Coverage for storm damage,TRUE,,,,,,,,,
,,,TheftCovered,boolean,Coverage for theft,TRUE,,,,,,,,,
,,,SubsidenceCovered,boolean,Coverage for subsidence,TRUE,,,,,,,,,
,,,MachineryBreakdownCovered,boolean,Coverage for machinery breakdown,TRUE,,,,,,,,,
,,,BusinessInterruptionCovered,boolean,Coverage for business interruption,TRUE,,,,,,,,,
,,,PublicLiabilityCovered,boolean,Coverage for public liability,TRUE,,,,,,,,,
,,,EmployersLiabilityCovered,boolean,Coverage for employers liability,TRUE,,,,,,,,,
,,,ContaminationCovered,boolean,Coverage for contamination incidents,TRUE,,,,,,,,,
,Claims,,section,,,,,,,,,,,,
,,,SettlementPeriodDays,integer,Days allowed for claim settlement,30,,,,,,,,,
,,,ExcessAmount,decimal,Standard excess amount,1000,,,,,,,,,
,,,PaymentMethod,menu,Method of claims payment,Bank transfer,"{Bank transfer, Check, Wire transfer}",,,,,,,,
,History,,section,,,,,,,,,,,,
,,,PriorClaims5Years,integer,Number of claims in past 5 years,2,,,,,,,,,
,,,LastClaimDate,date,Date of last claim,12/03/2023,,,,,,,,,
,,,LastClaimType,menu,Type of last claim,Machinery Breakdown,"{Flood, Fire, Storm, Theft, Subsidence, Machinery Breakdown, Business Interruption, Liability, Other}",,,,,,,,
,,,ClaimAmount,decimal,Amount of last claim,75000,,,,,,,,,
,,,NCBYears,integer,No claims bonus years,3,,,,,,,,,
