Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,,
HouseholdInsurance,Header,,section,N/A,,,,,,,,,,,
,,,HouseholdPolicyID,text,Unique identifier for the contract,POL-2024-001,,,,,,,,,
,,,Version,text,Contract version number,1,,,,,,,,,
,,,EffectiveDate,date,Start date of policy,01/01/2024,,,,,,,,,
,,,ExpirationDate,date,End date of policy,01/01/2025,,,,,,,,,
,,,Status,menu,Contract status,Active,"{Active, Suspended, Terminated}",,,,,,,,
,,,PropertyReference,text,Unique Property Reference Number,100023336785,,,,,,,,,
,Parties,,section,N/A,,,,,,,,,,,
,,,InsurerName,text,Name of insurance company,Liberty Mutual,,,,,,,,,
,,,InsurerLicense,text,Insurer's license number,LIC123456,,,,,,,,,
,,,InsuredName,text,Name of insured party,John Smith,,,,,,,,,
,,,InsuredType,menu,Type of insured,Individual,"{Individual, Business}",,,,,,,,
,Coverage,,section,N/A,,,,,,,,,,,
,,,BuildingCoverLimit,decimal,Maximum coverage amount for building,500000,,,,,,,,,
,,,ContentsCoverLimit,decimal,Maximum coverage amount for contents,75000,,,,,,,,,
,,,Currency,text,Contract currency,GBP,,,,,,,,,
,,,AnnualPremium,decimal,Annual premium amount,1200,,,,,,,HAIL,POWER_OUTAGE},
,,,PaymentFrequency,menu,Premium payment frequency,Monthly,"{Annual, Semi-annual, Quarterly, Monthly}",,,,,,,,
,HazardCoverage,,section,N/A,,,,,,,,,,,
,,,FloodCovered,boolean,Coverage for flood damage,TRUE,,,,,,,,,
,,,FireCovered,boolean,Coverage for fire damage,TRUE,,,,,,,,,
,,,StormCovered,boolean,Coverage for storm damage,TRUE,,,,,,,,,
,,,TheftCovered,boolean,Coverage for theft,TRUE,,,,,,,,,
,,,SubsidenceCovered,boolean,Coverage for subsidence,TRUE,,,,,,,,,
,,,AccidentalDamageCovered,boolean,Coverage for accidental damage,TRUE,,,,,,,,,
,,,EmergencyServicesCovered,boolean,Coverage for emergency services,TRUE,,,,,,,,,
,Claims,,section,N/A,,,,,,,,,,,
,,,SettlementPeriodDays,integer,Days allowed for claim settlement,30,,,,,,,,,
,,,ExcessAmount,decimal,Standard excess amount,250,,,,,,,,,
,,,PaymentMethod,menu,Method of claims payment,Bank transfer,"{Bank transfer, Check, Wire transfer}",,,,,,,,
,PropertyDetails,,section,N/A,,,,,,,,,,,
,,,PropertyType,menu,Type of property,Residential,"{Residential, Buy-to-let}",,,,,,,,
,,,BuildingType,menu,Type of building construction,House,"{House, Flat, Bungalow, Mansion}",,,,,,,,
,,,YearBuilt,integer,Year the property was built,1985,,,,,,,,,
,,,NumberOfBedrooms,integer,Number of bedrooms,3,,,,,,,,,
,,,OccupancyStatus,menu,How the property is occupied,Owner occupied,"{Owner occupied, Tenanted, Vacant}",,,,,,,,
,,,SecuritySystem,boolean,Property has security system,TRUE,,,,,,,,,
,,,FireAlarms,boolean,Property has fire alarms,TRUE,,,,,,,,,
,History,,section,N/A,,,,,,,,,,,
,,,PriorClaims5Years,integer,Number of claims in past 5 years,1,,,,,,,,,
,,,LastClaimDate,date,Date of last claim,12/03/2019,,,,,,,,,
,,,LastClaimType,menu,Type of last claim,Flood,"{Flood, Fire, Storm, Theft, Subsidence, Accidental, Other}",,,,,,,,
,,,ClaimAmount,decimal,Amount of last claim,15000,,,,,,,,,
,,,NCBYears,integer,No claims bonus years,3,,,,,,,,,
,RiskFactors,,section,N/A,,,,,,,,,,,
,,,FloodRiskZone,menu,Flood risk classification,Low,"{Low, Medium, High}",,,,,,,,
,,,SubsidenceRiskZone,menu,Subsidence risk classification,Low,"{Low, Medium, High}",,,,,,,,
,,,CrimeRateArea,menu,Local crime rate classification,Medium,"{Low, Medium, High}",,,,,,,,
,,,ListedBuilding,boolean,Property is listed/historic,FALSE,,,,,,,,,
,,,FireResistantMaterials,boolean,Built with fire resistant materials,TRUE,,,,,,,,,
,,,FloodProtection,boolean,Has flood protection measures,TRUE,,,,,,,,,
,Endorsements,,section,N/A,,,,,,,,,,,
,,,HighValueItems,boolean,Coverage for high value items,FALSE,,,,,,,,,
,,,BusinessUse,boolean,Coverage for business use,FALSE,,,,,,,,,
,,,GardenCover,boolean,Coverage for garden/outside items,TRUE,,,,,,,,,
,,,BikesCover,boolean,Coverage for bikes away from home,FALSE,,,,,,,,,
,,,LegalExpenses,boolean,Legal expenses coverage included,TRUE,,,,,,,,,
