Level 0,Level 1,Field,Data Type,Example Value,Menu Options
Mortgage,Header,LoanID,text,,
,,MemberID,text,,
,,UPRN,text,100023336785,
,,USRN,text,8400123,
,OriginalTerms,DisbursalDate,,,
,,PurchaseValue,,,
,,OriginalLoan,,,
,,OriginalTerm,,,
,,OriginalLendingRate,,,
,,OriginalSpread,,,
,,OriginalRateType,,,
,,OriginalLTV,,,
,,MaturityDate,,,
,,OriginalBoEBase,,,
,,PrePaymentType,,,"{Prepayment, Interest Only}"
,CurrentStatus,LatestStatus,,,"{Current, Defaulted, Completed}"
,,PrincipalPayed,,,
,,InterestPayed,,,
,,TotalPayments,,,
,,LastPaymentDate,,,
,,OutstandingBalance,,,
,,InArearsFlag,,,
,,CurrentLTV,,,
,,CurrentBoEBase,,,
,,RefianceScore,numeric,"{1, … , 10}",
,Default,DefaultFlag,,,
,,DaysInArears,,,
,,DefaultDate,,,
,Holder,MaritalStatus,,,
,,FamilyMembers,,,
,,BorrowerIncome,,,
,,BorrowerCreditScore,,,
,,BorrowEmployment,,,
,Others,,,,
