Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options
Mortgage,Header,,section,N/A,,,
,,,MortgageProvider,text,,Nationwide,
,,,LoanID,text,,M123456,
,,,MemberID,text,,B789012,
,,,UPRN,text,,100023336785,
,,,USRN,text,,8400123,
,,,currency,text,,GBP,
,Application,,section,N/A,,,
,,,ApplicationDate,date,,15/01/2024,
,,,PreApprovalRequest,menu,,Preapproval,"{Preapproval, NotPreapproval}"
,,,ApplicationChannel,menu,,Retail,"{Retail, Broker, Correspondent}"
,,,DenialReason,menu,,,"{Credit History, DTI, Collateral, Other}"
,,,LoanPurpose,menu,,Purchase,"{Purchase, Refinancing, Home Improvement, Other}"
,,,OccupancyType,menu,,PrimaryResidence,"{PrimaryResidence, SecondResidence, Investment}"
,,,HMDALoanType,menu,,Conventional,"{Conventional, FHA, VA, FSA}"
,,,ApplicationPropertyValuation,numeric_currency,,350000,
,FinancialTerms,,section,N/A,,,
,,,DisbursalDate,date,,2024-01-15,
,,,PurchaseValue,numeric_currency,,350000,
,,,OriginalLoan,numeric_currency,,280000,
,,,OriginalTerm,numeric_months,,300,
,,,TotalLoanCosts,numeric_currency,,500,
,,,OriginationCharges,numeric_currency,,2500,
,,,DiscountPoints,numeric_currency,,1000,
,,,LenderCredits,numeric_currency,,500,
,,,OriginalLendingRate,numeric_percent,,3.45,
,,,OriginalSpread,numeric_percent,,1.25,
,,,HMDARateSpread,numeric_percent,,2.25,
,,,OriginalRateType,menu,,Fixed,"{Fixed, Variable, Tracker, Discount, Capped, Standard Variable Rate}"
,,,OriginalLTV,numeric_percent,,80,
,,,PrepaymentPenaltyTerm,numeric_months,,24,
,,,MaturityDate,date,,2053-01-15,
,,,OriginalBoEBase,numeric_percent,,4.25,
,,,InitialFixedTerm,numeric_months,,24,
,,,EarlyRepaymentCharge,numeric_percent,,3,
,,,ProductFee,numeric_currency,,999,
,,,DebtToIncomeRatio,numeric_ratio,,43.2,
,,,LoanToValueRatio,numeric_ratio,,80,
,,,IntroductoryRatePeriod,numeric_months,,12,
,Features,,section,N/A,,,
,,,MortgageType,menu,,Residential,"{Residential, Buy-to-Let, Second Home, Holiday Home, Shared Ownership}"
,,,PaymentFrequency,menu,,Monthly,"{Monthly, Biweekly, Weekly}"
,,,PortabilityFlag,boolean,,TRUE,
,,,OverpaymentAllowance,numeric_percent,,10,
,,,PaymentHolidayEligible,boolean,,TRUE,
,,,OffsetAccount,boolean,,FALSE,
,,,SharedOwnershipShare,numeric_percent,,0,
,,,HelpToBuyFlag,boolean,,FALSE,
,,,RightToBuyFlag,boolean,,FALSE,
,,,FirstTimeBuyerFlag,boolean,,TRUE,
,,,BalloonPayment,boolean,,FALSE,
,,,InterestOnlyPayment,boolean,,FALSE,
,,,NegativeAmortization,boolean,,FALSE,
,,,OtherNonAmortizingFeatures,boolean,,FALSE,
,CurrentStatus,,section,N/A,,,
,,,LatestStatus,menu,,Current,"{Current, Defaulted, Completed, Redeemed}"
,,,PrincipalPayed,numeric_currency,,25000,
,,,InterestPayed,numeric_currency,,15000,
,,,TotalPayments,numeric_count,,40,
,,,OutstandingBalance,numeric_currency,,255000,
,,,LastPaymentDate,date,,2024-03-15,
,,,InArrearsFlag,boolean,,FALSE,
,,,CurrentLTV,numeric_percent,,72.85,
,,,CurrentBoEBase,numeric_percent,,4.25,
,,,CurrentLendingRate,numeric_percent,,3.45,
,,,CurrentPayment,numeric_currency,,1250,
,,,MissedPayments12M,numeric_count,,0,
,,,HighestArrearsLast24M,numeric_currency,,0,
,,,PaymentHolidaysTaken,numeric_count,,0,
,,,LastPaymentHolidayDate,date,,2024-03-15,
,,,TotalPaymentHolidays,numeric_count,,0,
,,,ArrearsHighestBalance,numeric_currency,,0,
,Default,,section,N/A,,,
,,,DefaultFlag,boolean,,FALSE,
,,,DaysInArears,numeric_days,,0,
,,,DefaultDate,date,,,
,,,RestructureFlag,boolean,,FALSE,
,,,RestructureDate,date,,,
,,,WriteOffAmount,numeric_currency,,0,
,,,RepossessionFlag,boolean,,FALSE,
,,,RepossessionDate,date,,,
,BorrowerDetails,,section,N/A,,,
,,,MaritalStatus,menu,,Married,"{Single, Married, Divorced, Widowed, Civil Partnership, Separated}"
,,,FamilyMembers,numeric_count,,3,
,,,BorrowerIncome,numeric_currency_year,,75000,
,,,BorrowerCreditScore,numeric_score,,725,
,,,BorrowerEmployment,menu,,Employed,"{Employed, Self-employed, Retired, Unemployed, Student}"
,,,YearsInCurrentEmployment,numeric_years,,5,
,,,SecondaryIncome,numeric_currency_year,,15000,
,,,IncomeVerificationType,menu,,Payslips,"{Payslips, Bank Statements, Tax Returns, Self-Assessment, Other}"
,,,BorrowerAge,numeric_years,,35,
,,,BorrowerNationality,menu,,UK,"{UK, EU, Non-EU}"
,,,ResidencyStatus,menu,,UK Citizen,"{UK Citizen, Permanent Resident, Temporary Resident, Other}"
,RiskMetrics,,section,N/A,,,
,,,AffordabilityRatio,numeric_ratio,,3.2,
,,,DebtServiceRatio,numeric_ratio,,0.28,
,,,StressTestRate,numeric_percent,,7,
,,,RefinanceIncentive,numeric_score,,7,"{1, ..., 10}"
,,,PrepaymentRisk,numeric_score,,4,"{1, ..., 10}"
,,,BehavioralScore,numeric_score,,85,"{1, ..., 100}"
,Insurance,,section,N/A,,,
,,,MortgageProtectionType,menu,,None,"{None, Life, Critical Illness, Income Protection, Combined}"
,,,MortgageIndemnityGuarantee,boolean,,FALSE,
,,,InsurancePremium,numeric_currency_month,,45,
,,,InsurancePolicyNumber,text,,MPI789012,
,,,FloodInsurerName,text,,Liberty Mutual Re,
,Regulatory,,section,N/A,,,
,,Common,BusinessOrCommercialPurpose,boolean,,FALSE,
,,,FCAReferenceNumber,text,,123456,
,,,AdvisedFlag,boolean,,TRUE,
,,,ExecutionOnlyFlag,boolean,,FALSE,
,,,ExecutionOnlyEligibilityFlag,boolean,,TRUE,
,,,InteractiveSaleFlag,boolean,,TRUE,
,,,DistanceMarketingFlag,boolean,,FALSE,
,,,RecordKeepingCompliantFlag,boolean,,TRUE,
,,,VulnerableCustomerFlag,boolean,,FALSE,
,,MCOB,MMRCompliantFlag,boolean,,TRUE,
,,,CrossBorderPassportingFlag,boolean,,FALSE,
,,,OriginatingMemberState,text,,UK,"{UK, EU Member States}"
,,,ESISProvidedDate,date,,15/01/2024,
,,,ESISVersion,text,,v2.1,
,,,CoolingOffPeriodDays,numeric_days,,14,
,,,ForeignCurrencyLoanFlag,boolean,,FALSE,
,,,ExchangeRateProtectionType,menu,,None,"{None, Cap, Warning, Right to Convert}"
,,,AdviceRejectionFlag,boolean,,FALSE,
,,,AdviceRejectionReason,text,,Rate too high,
,,,APRCInitialRate,numeric_percent,,4.2,
,,,APRCSecondaryRate,numeric_percent,,6.5,
,,,StressTestCompliantFlag,boolean,,TRUE,
,,,AffordabilityAssessmentDate,date,,10/01/2024,
,,,MortgageClubCode,text,,MC123,
,,,IntermediaryCode,text,,INT456,
,,,InitialDisclosureProvidedDate,date,,10/01/2024,
,,,InitialDisclosureMethod,menu,,Written,"{Written, Oral, Both}"
,,,CancellationRightsFlag,boolean,,TRUE,
,,,SuitabilityAssessmentDate,date,,10/01/2024,
,,,AdviceRetentionPeriod,numeric_months,,36,
,,HMDA,HMDAReportableFlag,boolean,,TRUE,
,,,HMDAHOEPAStatus,boolean,,FALSE,
,,,HMDARateSpread,numeric_percent,,2.25,
,,,ManufacturedHomeSecured,boolean,,FALSE,
,,,ManufacturedHomeLandPropertyInterest,menu,,None,"{DirectOwnership, IndirectOwnership, PaidLeasehold, UnpaidLeasehold}"
,,,,,,,
