Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,,
PhysicalSwap,Header,,section,,,,,,,,,,,,
,,,TradeType,text,Type of physical swap trade,ParametricGaugeBasket,,,,,,,,,
,,,CounterParty,text,Unique identifier for the counterparty,001B456BCDEFGH67XY89,,,,,,,,,
,,,PartyId,text,Legal Entity Identifier for the party,549300A08LH2961IPN13,,,,,,,,,
,,,ValuationDate,date,Date of valuation,19/12/2024,,,,,,,,,
,,,GaugeSetID,text,Identifier for netting set,ABC1234,,,,,,,,,
,,,ProtectionStart,date,Start date of protection,19/12/2024,,,,,,,,,
,,,SettlesAccrual,boolean,Indicates if accrual is settled,TRUE,,,,,,,,,
,,,PaysAtDefaultTime,boolean,Indicates if payment occurs at default time,TRUE,,,,,,,,,
,,,ProtectionStart,date,Start date of protection,19/12/2024,,,,,,,,,
,LegData,,section,,,,,,,,,,,,
,,,LegType,menu,Type of payment leg,Fixed,"{Fixed, Float}",,,,,,,,
,,,Payer,boolean,Indicates if party is the payer,TRUE,,,,,,,,,
,,,Currency,text,Currency of the trade,USD,,,,,,,,,
,,,Notional,decimal,Notional amount of the trade," 5,000,000 ",,,,,,,,,
,,,DayCounter,text,Day count convention,A360,,,,,,,,,
,,,PaymentConvention,text,Payment date convention,F,,,,,,,,,
,,,FixedLegRate,decimal,Fixed rate for payments,0.00114,,,,,,,,,
,ScheduleData,,section,,,,,,,,,,,,
,,,StartDate,date,Start date of payment schedule,19/12/2024,,,,,,,,,
,,,EndDate,date,End date of payment schedule,19/12/2029,,,,,,,,,
,,,Tenor,text,Payment frequency,3M,,,,,,,,,
,,,Calendar,text,Business day calendar,US,,,,,,,,,
,,,Convention,text,Business day convention,F,,,,,,,,,
,,,TermConvention,text,Terminal business day convention,F,,,,,,,,,
,,,Rule,text,Schedule generation rule,PRS2025(?),,,,,,,,,
,,,EndOfMonth,boolean,End of month adjustment flag,N,,,,,,,,,
,,,FirstDate,date,First payment date,21/12/2024,,,,,,,,,
,,,LastDate,date,Last payment date,22/12/2029,,,,,,,,,
,GaugeSet,,section,,,,,,,,,,,,
,,,GaugeSet,text,Identifier for netting set,ABC1234,,,,,,,,,
,,Measurement,TriggerType,menu,Type of measurement trigger,Water depth,"{WaterDepth, RiverLevel}",,,,,,,,
,,,TriggerThreshold,decimal,Threshold value for trigger,1,,,,,,,,,
,,,TriggerUnit,menu,Unit of measurement,Meters,{Meters Millimeters},,,,,,,,
,,Gauge 1,GaugeID,text,Unique identifier for the sensor,GAUGE-001,,,,,,,,,
,,,Threshold1,decimal,First trigger threshold,1,,,,,,,,,
,,,Payout1,decimal,Payout for first threshold," 100,000 ",,,,,,,,,
,,,Threshold2,decimal,Second trigger threshold,2,,,,,,,,,
,,,Payout2,decimal,Payout for second threshold," 250,000 ",,,,,,,,,
,,,Threshold3,decimal,Third trigger threshold,3,,,,,,,,,
,,,Payout3,decimal,Payout for third threshold," 500,000 ",,,,,,,,,
,,Gauge 2…99,GaugeID,text,Unique identifier for the sensor,GAUGE-002…099,,,,,,,,,
,,Gauge 1,GaugeID,text,Unique identifier for the sensor,GAUGE-100,,,,,,,,,
,,,Threshold1,decimal,First trigger threshold,1.2,,,,,,,,,
,,,Payout1,decimal,Payout for first threshold," 100,000 ",,,,,,,,,
,,,Threshold2,decimal,Second trigger threshold,2.4,,,,,,,,,
,,,Payout2,decimal,Payout for second threshold," 250,000 ",,,,,,,,,
,,,Threshold3,decimal,Third trigger threshold,3.6,,,,,,,,,
,,,Payout3,decimal,Payout for third threshold," 500,000 ",,,,,,,,,
