Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,
CommercialProperty,,,section,,,,,
,Header,,section,,,,,
,,,UPRN,text,Unique Property Reference Number,100023336785,,
,PropertyAttributes,,section,,,,,
,,PropertyHeader,section,,,,,
,,,OccupancyType,menu,Primary use classification of the property,Retail,"{Retail, Office, Industrial, Warehouse, Mixed Use, Leisure, Healthcare}",
,,,PropertyAreaSqm,numeric,Total floor area of property in square meters,2500,,
,,,BusinessRatesCategory,menu,Business rates classification,Shop and Premises,"{Shop and Premises, Office, Factory, Warehouse, Other}",
,,,BuildingResidency,menu,Number of separate business units,Multiple units,"{Single occupancy, Two-five units, Over five units}",
,,,PropertyType,menu,Building category,Retail unit,"{Retail unit, Office block, Industrial unit, Warehouse, Mixed use}",It is a condition for Flood Re not to be commercial
,,,OccupancyStatus,menu,Current occupancy status,Fully occupied,"{Fully occupied, Partially vacant, Vacant}",
,,,HeightMeters,numeric,Height of property in meters,12,,
,,,NumberOfStoreys,numeric,Number of floors in property,3,,
,,,ConstructionDate,numeric,Year property was built,1985,,
,,,PropertyPeriod,menu,Construction period category,1976-1999,"{Pre-1919, 1919-1949, 1950-1975, 1976-1999, 2000-2008, 2009-Present}",
,,,TotalUnits,numeric,Total number of business units,5,,
,,,LoadingBays,numeric,Number of loading bays,2,,
,,,ParkingSpaces,numeric,Total parking spaces,12,,
,,,AccessType,menu,Type of access to property,Public road,"{Public road, Private road, Shared access, Right of way}",
,,,LastMajorWorksDate,date,Date of last significant renovation,15/06/2018,,
,,Construction,section,,,,,
,,,ConstructionType,menu,Primary construction method/materials,Steel frame,"{Steel frame, Concrete frame, Brick and block, Modern methods, Mixed construction}",
,,,FoundationType,menu,Type of building foundations,Pile foundations,"{Strip foundations, Raft foundations, Pile foundations, Deep foundations, Unknown}",
,,,FloorType,menu,Ground floor construction type,Reinforced concrete,"{Suspended concrete, Solid concrete, Beam and block, Mixed}",
,,,StiltsHeight,numeric,Height of any stilts/pillars supporting property,0,,
,,,PropertyHeight,numeric,Total height of property in metres,12,,
,,,FloorLevelMeters,numeric,Height of ground floor above ground level,0.6,,
,,,BasementPresent,boolean,Indicates presence of basement,TRUE,,
,,,PlantRoomLocation,menu,Location of main plant room,Basement,"{Basement, Ground floor, Roof, External}",
,,,ServiceCore,menu,Type of service core,Central core,"{Central core, Multiple cores, External core, None}",
,,Location,section,,,,,
,,,BuildingName,text,Name of building if applicable,Rose Cottage,,
,,,BuildingNumber,text,Street number of property,42,,
,,,SubBuildingNumber,text,Sub-unit number if applicable,A,,
,,,SubBuildingName,text,Name of sub-unit if applicable,Ground Floor Flat,,
,,,StreetName,text,Name of street,High Street,,
,,,AddressLine2,text,Secondary address line,Millbrook,,
,,,TownCity,text,Town or city name,Southampton,,
,,,County,text,County name,Hampshire,,
,,,Postcode,text,Property postcode,SO16 4AB,,
,,,USRN,text,Unique Street Reference Number,8400123,,
,,,LocalAuthority,text,Governing local authority name,Southampton City Council,,
,,,ElectoralWard,text,Electoral ward name,Millbrook,,
,,,ParliamentaryConstituency,text,Parliamentary constituency name,Southampton West,,
,,,Country,menu,Country within UK,England,"{England, Wales, Scotland, Northern Ireland}",
,,,Region,menu,Geographic region,South East,"{North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales, Scotland, Northern Ireland}",
,,,UrbanRuralClassification,menu,Urban/rural development classification,Urban,"{Urban, Suburban, Rural}",
,,,LatitudeDegrees,decimal,Geographic latitude coordinate,50.9289,,
,,,LongitudeDegrees,decimal,Geographic longitude coordinate,-1.4317,,
,,,BritishNationalGrid,text,OS National Grid reference,SU 430 110,,
,,,What3Words,text,What3Words location identifier,//famout.honest.pizza,,
,,AccessibilityFeatures,section,,,,,
,,,DisabledAccess,boolean,Disabled access provision,TRUE,,
,,,GoodsLiftCount,integer,Number of goods lifts,2,,
,,,GoodsLiftCapacity,decimal,Maximum goods lift capacity (kg),2000,,
,,,EmergencyExits,integer,Number of emergency exits,8,,
,,,DeliveryBays,integer,Number of delivery bays,4,,
,RiskAssessment,,section,,,,,
,,HazardFeatures,section,,,,,
,,,EAFloodZone,menu,Environment Agency flood zone classification,Zone 2,"{Zone 1, Zone 2, Zone 3a, Zone 3b}",
,,,OverallFloodRisk,menu,Combined flood risk assessment,Medium,"{Very low, Low, Medium, High, Very high}",
,,,FloodRiskType,menu,Primary source of flood risk,River,"{River, Surface water, Groundwater, Coastal, Multiple}",
,,,LastFloodDate,date,Date of most recent flood event,15/2/1975,,
,,,SoilType,menu,Predominant soil composition,Clay,"{Clay, Sandy, Loamy, Chalk, Peat, Rocky, Mixed, Saltpans, Unknown}",
,,,GroundLevelMeters,decimal,Height above sea level in meters,45,,
,,,RiverDistanceMeters,decimal,Distance to nearest river in meters,250,,
,,,LakeDistanceMeters,decimal,Distance to nearest lake in meters,2000,,
,,,CoastalDistanceMeters,decimal,Distance to coastline in meters,12000,,
,,,CanalDistanceMeters,decimal,Ditance to nearest canal in meters,350,,
,,,GovernmentalDefenceScheme,boolean,Covered by government flood defence scheme,FALSE,,
,,,IndustrialProcessRisk,menu,Risk level from industrial processes,Low,"{None, Low, Medium, High}",
,,,ChemicalStorage,boolean,Hazardous chemical storage on site,FALSE,,
,,,OperatingHours,menu,Typical operating hours,24-Jul,"{Standard business hours, Extended hours, 24/7}",
,,,FireLoadRating,menu,Fire load classification,Medium,"{Low, Medium, High}",
,,IndustrialFeatures,section,,,,,
,,,HazardousZones,menu,DSEAR zone classification,Zone 2,"{Zone 0, Zone 1, Zone 2, Non-hazardous}",
,,,StorageTankCount,integer,Number of storage tanks,4,,
,,,StorageCapacity,decimal,Total storage capacity in cubic meters,1000,,
,,,WasteTreatment,boolean,On-site waste treatment facility,TRUE,,
,,,EffluentTreatment,boolean,Industrial effluent treatment plant,TRUE,,
,,,HeavyMachineryZones,integer,Number of heavy machinery zones,2,,
,,SafetyCompliance,section,,,,,
,,,COMAHStatus,menu,COMAH classification,Lower tier,"{Not applicable, Lower tier, Upper tier}",
,,,SafetyDistance,decimal,Distance to nearest residential area (m),500,,
,,,EmergencyResponseTime,integer,Average emergency response time (minutes),8,,
,,,FireStationDistance,decimal,Distance to nearest fire station (km),2.5,,
,,,AssemblyPoints,integer,Number of emergency assembly points,4,,
,,,EvacuationTime,integer,Building evacuation time (minutes),15,,
,,Certifications,section,,,,,
,,,HSECertification,menu,HSE certification status,Full compliance,"{Full compliance, Partial compliance, Under review, Non-compliant}",
,,,EnvironmentalPermit,text,Environmental permit reference,EP123456,,
,,,AirQualityPermit,boolean,Air quality permit required/held,TRUE,,
,,,WastePermit,boolean,Waste management permit held,TRUE,,
,ProtectionMeasures,,section,,,,,
,,Insurance,section,,,,,
,,,FloodReEligible,boolean,Eligibility for Flood Re scheme,TRUE,,
,,,ClaimsHistory,integer,Number of historical insurance claims,1,,
,,,LastClaimDate,date,Date of most recent insurance claim,12/03/2019,,
,,,LastClaimType,menu,Nature of most recent claim,Flood damage,"{None, Fire, Flood  damage, Subsidence, Domestic appliances",
,,ResilienceMeasures,section,,,,,
,,,WarningSystemStatus,menu,Type of flood warning system in place,Other,"{None, Real-time monitoring, Alert via SMS/email, Local emergency response, Other}",
,,,FloodBarriers,boolean,Presence of temporary flood barriers,TRUE,,
,,,FloodPanels,boolean,Presence of permanent flood panels,FALSE,,
,,,AirbrickCovers,boolean,Presence of airbrick flood covers,TRUE,,
,,,WaterproofWalls,boolean,Waterproof wall treatment applied,TRUE,,
,,,ResilientDoors,boolean,Flood-resistant door installation,TRUE,,
,,,RaisedFoundationsMm,decimal,Height of raised foundations (mm),450,,
,,,ReinforcedWalls,boolean,Presence of reinforced wall construction,TRUE,,
,,,PermeablePaving,boolean,Installation of permeable paving,TRUE,,
,,,DrainageSystems,boolean,Enhanced drainage systems present,TRUE,,
,,,WaterDiversion,boolean,Water diversion measures installed,TRUE,,
