Property_CDM,,,,,,,
Level 0,Level 1,Level 2,Field,Data Type,Example Value,Menu Options,
Property,,,section,N/A,,,
,PropertyHeader,,section,N/A,,,
,,PropertyAttributes,section,N/A,,,
,,,OccupancyType,menu,Residential owner-occupied,"{Residential owner-occupied, Second home, Static caravan, Vacant}",
,,,PropertyAreaSqm,numeric_sqm,140,,
,,,HousingAssociation,boolean,FALSE,,
,,,IncomeGenerating,menu,No,"{No, rental, holiday let}",It is a condition for Flood Re not to be commercial
,,,PayingBusinessRates,boolean,FALSE,,
,,,BuildingResidency,menu,Single,"{Single residence, Two/three residences, Over three residences}",
,,,PropertyType,menu,Semi-detached,"{Detached, Semi-detached, Mid-terrace, End-terrace, Bungalow, Flat}",
,,,OccupancyResidency,menu,Family resident,"{Family resident, Unoccupied, Other} ",
,,,HeightMeters,numeric_meters,2.35,,
,,,NumberOfStoreys,numeric,2,,
,,,ConstructionDate,numeric_year,1962,,
,,,PropertyPeriod,menu,1950-1975,"{Pre-1919, 1919-1949, 1950-1975, 1976-1999, 2000-2008, 2009-Present}",
,,,CouncilTaxBand,menu,D,"{A, B, C, D, E, F, G, H}",
,,,NumberBedrooms,numeric,3,,
,,,NumberBathrooms,numeric,2,,
,,,TotalRooms,numeric,8,,
,,,GardenAreaFront,numeric_sqm,20,,
,,,GardenAreaBack,numeric_sqm,120,,
,,,ParkingType,menu,Driveway and garage,"{None, On-street only, Driveway only, Garage only, Driveway and garage, Allocated space}",
,,,AccessType,menu,Public road,"{Public road, Private road, Shared access, Right of way}",
,,,LastMajorWorksDate,date,2018-06-15,,
,,Construction,section,N/A,,,
,,,ConstructionType,menu,Brick and block,"{Brick and block, Timber frame, Stone, Modern methods, Mixed construction}",
,,,FoundationType,menu,Strip foundations,"{Strip foundations, Raft foundations, Pile foundations, Deep foundations, Unknown}",
,,,FloorType,menu,Solid concrete,"{Suspended timber, Solid concrete, Suspended concrete, Beam and block, Mixed}",
,,,StiltsHeight,numeric_meters,0,,
,,,PropertyHeight,numeric_meters,7.2,,
,,,FloorLevelMeters,numeric_meters,0.6,,
,,,BasementPresent,boolean,FALSE,,
,,Location,section,N/A,,,
,,,BuildingName,text,Rose Cottage,,
,,,BuildingNumber,text,42,,
,,,SubBuildingNumber,text,A,,
,,,SubBuildingName,text,Ground Floor Flat,,
,,,StreetName,text,High Street,,
,,,AddressLine2,text,Millbrook,,
,,,TownCity,text,Southampton,,
,,,County,text,Hampshire,,
,,,Postcode,text,SO16 4AB,,
,,,UPRN,text,100023336785,,
,,,USRN,text,8400123,,
,,,LocalAuthority,text,Southampton City Council,,
,,,ElectoralWard,text,Millbrook,,
,,,ParliamentaryConstituency,text,Southampton West,,
,,,Country,menu,England,"{England, Wales, Scotland, Northern Ireland}",
,,,Region,menu,South East,"{North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales, Scotland, Northern Ireland}",
,,,UrbanRuralClassification,menu,Urban,"{Urban, Suburban, Rural}",
,,,LatitudeDegrees,numeric_degrees,50.9289,,
,,,LongitudeDegrees,numeric_degrees,-1.4317,,
,,,BritishNationalGrid,text,SU 430 110,,
,,,What3Words,//text.text.text,//famout.honest.pizza,,
,,RiskAssessment,section,N/A,,,
,,,EAFloodZone,menu,Zone 2,"{Zone 1, Zone 2, Zone 3a, Zone 3b}",
