Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,
Property,,,section,N/A,,,,
,PropertyHeader,,section,N/A,,,,
,,Header,section,N/A,,,,
,,,UPRN,text,Unique Property Reference Number,100023336785,,
,,PropertyAttributes,section,N/A,,,,
,,,OccupancyType,menu,Primary use classification of the property,Residential owner-occupied,"{Residential owner-occupied, Second home, Static caravan, Vacant}",
,,,PropertyAreaSqm,numeric,Total floor area of property in square meters,140,,
,,,HousingAssociation,boolean,Indicates if property is owned by housing association,FALSE,,
,,,IncomeGenerating,menu,Property's income generation status,No,"{No, rental, holiday let}",It is a condition for Flood Re not to be commercial
,,,PayingBusinessRates,boolean,Indicates if property is subject to business rates,FALSE,,
,,,BuildingResidency,menu,Number of separate residences in building,Single,"{Single residence, Two/three residences, Over three residences}",
,,,PropertyType,menu,Architectural style/category of property,Semi-detached,"{Detached, Semi-detached, Mid-terrace, End-terrace, Bungalow, Flat}",
,,,OccupancyResidency,menu,Current occupancy status,Family resident,"{Family resident, Unoccupied, Other} ",
,,,HeightMeters,numeric,Height of property in meters,2.35,,
,,,NumberOfStoreys,numeric,Number of floors in property,2,,
,,,ConstructionDate,numeric,Year property was built,1962,,
,,,PropertyPeriod,menu,Construction period category,1950-1975,"{Pre-1919, 1919-1949, 1950-1975, 1976-1999, 2000-2008, 2009-Present}",
,,,CouncilTaxBand,menu,Property's council tax classification,D,"{A, B, C, D, E, F, G, H}",
,,,NumberBedrooms,numeric,Total number of bedrooms,3,,
,,,NumberBathrooms,numeric,Total number of bathrooms,2,,
,,,TotalRooms,numeric,Total number of rooms excluding bathrooms,8,,
,,,GardenAreaFront,numeric,Front garden area in square meters,20,,
,,,GardenAreaBack,numeric,Back garden area in square meters,120,,
,,,ParkingType,menu,Available parking facilities,Driveway and garage,"{None, On-street only, Driveway only, Garage only, Driveway and garage, Allocated space}",
,,,AccessType,menu,Type of access to property,Public road,"{Public road, Private road, Shared access, Right of way}",
,,,LastMajorWorksDate,date,Date of last significant renovation/works,2018-06-15,,
,,Construction,section,N/A,,,,
,,,ConstructionType,menu,Primary construction method/materials,Brick and block,"{Brick and block, Timber frame, Stone, Modern methods, Mixed construction}",
,,,FoundationType,menu,Type of building foundations,Strip foundations,"{Strip foundations, Raft foundations, Pile foundations, Deep foundations, Unknown}",
,,,FloorType,menu,Ground floor construction type,Solid concrete,"{Suspended timber, Solid concrete, Suspended concrete, Beam and block, Mixed}",
,,,StiltsHeight,numeric,Height of any stilts/pillars supporting property,0,,
,,,PropertyHeight,numeric,Total height of property in metres,7.2,,
,,,FloorLevelMeters,numeric,Height of ground floor above ground level in metres,0.6,,
,,,BasementPresent,boolean,Indicates presence of basement,FALSE,,
,,Location,section,N/A,,,,
,,,BuildingName,text,Name of building if applicable,Rose Cottage,,
,,,BuildingNumber,text,Street number of property,42,,
,,,SubBuildingNumber,text,Sub-unit number if applicable,A,,
,,,SubBuildingName,text,Name of sub-unit if applicable,Ground Floor Flat,,
,,,StreetName,text,Name of street,High Street,,
,,,AddressLine2,text,Secondary address line,Millbrook,,
,,,TownCity,text,Town or city name,Southampton,,
,,,County,text,County name,Hampshire,,
,,,Postcode,text,Property postcode,SO16 4AB,,
,,,USRN,text,Unique Street Reference Number,8400123,,
,,,LocalAuthority,text,Governing local authority name,Southampton City Council,,
,,,ElectoralWard,text,Electoral ward name,Millbrook,,
